3 2 11 // magic number - today's date
#
# this file gives the vibration, rotation, and energy, of all 
# levels within the ground electronic state of molecular hydrogen
# The energies are in atomic units.  Any line starting with a #
# is interpreted as a comment and ignored.  The same magic number
# appears at the start and end of the file.
#
# data are from
#>>refer	H2	As	Abgrall, H., Roueff, E., & Drira, I. 2000, A&AS, 141, 297-300
#
# this is the elec=6 level in the internal bookkeeping
#
# NB - data on KE are not complete - set to zero when absent
#
# vib rot ener D- e state
# v  	j	 diss tot 	kin Enrgy(eV)
2	20	7.52E+05	0.00E+00
2	21	1.05E+06	0.00E+00
2	22	1.05E+06	0.00E+00
2	23	1.62E+06	0.00E+00
2	24	6.50E+06	0.00E+00
2	25	2.55E+07	0.00E+00

# these are above the dissociation limit
3	1	8.45E+00	0.00E+00
3	2	9.04E+00	0.00E+00
3	3	1.28E+01	0.00E+00
3	4	2.72E+01	0.00E+00
3	5	8.31E+01	0.00E+00
3	6	1.70E+02	0.00E+00
3	7	3.47E+02	0.00E+00
3	8	1.07E+03	0.00E+00
3	9	1.44E+03	0.00E+00
3	10	1.67E+03	0.00E+00
3	11	1.47E+03	0.00E+00
3	12	1.51E+03	0.00E+00
3	13	2.93E+04	0.00E+00
3	14	5.45E+04	0.00E+00
3	15	8.28E+04	0.00E+00
3	16	9.70E+04	0.00E+00
3	17	8.51E+04	0.00E+00
3	18	1.98E+06	0.00E+00
3	19	2.65E+06	0.00E+00
3	20	2.62E+06	0.00E+00
3	21	3.61E+06	0.00E+00
3	22	1.20E+07	0.00E+00
3	23	4.90E+07	0.00E+00
3	24	3.31E+07	0.00E+00
3	25	2.24E+08	0.00E+00
4	1	1.95E+03	0.00E+00
4	2	2.31E+03	0.00E+00
4	3	2.94E+03	0.00E+00
4	4	3.92E+03	0.00E+00
4	5	5.56E+03	0.00E+00
4	6	5.98E+03	0.00E+00
4	7	5.69E+03	0.00E+00
4	8	4.52E+03	0.00E+00
4	9	6.25E+03	0.00E+00
4	10	1.98E+04	0.00E+00
4	11	1.36E+05	0.00E+00
4	12	2.02E+05	0.00E+00
4	13	3.15E+05	0.00E+00
4	14	1.97E+05	0.00E+00
4	15	3.43E+05	0.00E+00
4	16	4.58E+06	0.00E+00
4	17	5.69E+06	0.00E+00
4	18	5.19E+06	0.00E+00
4	19	7.48E+06	0.00E+00
4	20	1.08E+08	0.00E+00
4	21	7.70E+07	0.00E+00
4	22	4.96E+07	0.00E+00
4	23	2.61E+08	0.00E+00
4	24	2.44E+08	0.00E+00
4	25	2.84E+08	0.00E+00
5	1	1.40E+04	0.00E+00
5	2	1.30E+04	0.00E+00
5	3	1.17E+04	0.00E+00
5	4	1.20E+04	0.00E+00
5	5	2.42E+04	0.00E+00
5	6	4.97E+04	0.00E+00
5	7	1.10E+05	0.00E+00
5	8	3.82E+05	0.00E+00
5	9	4.95E+05	0.00E+00
5	10	5.53E+05	0.00E+00
5	11	4.74E+05	0.00E+00
5	12	5.41E+05	0.00E+00
5	13	7.16E+06	0.00E+00
5	14	9.53E+06	0.00E+00
5	15	1.06E+07	0.00E+00
5	16	9.22E+06	0.00E+00
5	17	1.52E+07	0.00E+00
5	18	1.41E+08	0.00E+00
5	19	1.05E+08	0.00E+00
5	20	2.76E+08	0.00E+00
5	21	2.83E+08	0.00E+00
5	22	2.75E+08	0.00E+00
5	23	2.96E+08	0.00E+00
5	24	3.09E+08	0.00E+00
5	25	3.20E+08	0.00E+00
6	1	3.90E+05	0.00E+00
6	2	4.64E+05	0.00E+00
6	3	5.89E+05	0.00E+00
6	4	7.85E+05	0.00E+00
6	5	1.10E+06	0.00E+00
6	6	1.15E+06	0.00E+00
6	7	1.07E+06	0.00E+00
6	8	9.07E+05	0.00E+00
6	9	1.24E+06	0.00E+00
6	10	2.95E+06	0.00E+00
6	11	1.53E+07	0.00E+00
6	12	1.78E+07	0.00E+00
6	13	1.70E+07	0.00E+00
6	14	1.67E+07	0.00E+00
6	15	3.16E+07	0.00E+00
6	16	1.69E+08	0.00E+00
6	17	1.29E+08	0.00E+00
6	18	2.87E+08	0.00E+00
6	19	2.98E+08	0.00E+00
6	20	3.03E+08	0.00E+00
6	21	3.09E+08	0.00E+00
6	22	3.16E+08	0.00E+00
6	23	3.24E+08	0.00E+00
6	24	3.30E+08	0.00E+00
6	25	3.57E+08	0.00E+00
7	1	1.83E+06	0.00E+00
7	2	1.71E+06	0.00E+00
7	3	1.57E+06	0.00E+00
7	4	1.60E+06	0.00E+00
7	5	2.83E+06	0.00E+00
7	6	4.84E+06	0.00E+00
7	7	8.95E+06	0.00E+00
7	8	2.58E+07	0.00E+00
7	9	2.81E+07	0.00E+00
7	10	2.67E+07	0.00E+00
7	11	2.44E+07	0.00E+00
7	12	3.49E+07	0.00E+00
7	13	2.19E+08	0.00E+00
7	14	1.85E+08	0.00E+00
7	15	1.44E+08	0.00E+00
7	16	3.00E+08	0.00E+00
7	17	3.08E+08	0.00E+00
7	18	3.13E+08	0.00E+00
7	19	3.19E+08	0.00E+00
7	20	3.27E+08	0.00E+00
7	21	3.33E+08	0.00E+00
7	22	3.37E+08	0.00E+00
7	23	3.60E+08	0.00E+00
7	24	3.73E+08	0.00E+00
8	1	1.95E+07	0.00E+00
8	2	2.23E+07	0.00E+00
8	3	2.68E+07	0.00E+00
8	4	3.32E+07	0.00E+00
8	5	4.19E+07	0.00E+00
8	6	4.02E+07	0.00E+00
8	7	3.54E+07	0.00E+00
8	8	3.77E+07	0.00E+00
8	9	5.15E+07	0.00E+00
8	10	8.41E+07	0.00E+00
8	11	2.23E+08	0.00E+00
8	12	1.88E+08	0.00E+00
8	13	3.04E+08	0.00E+00
8	14	3.09E+08	0.00E+00
8	15	3.12E+08	0.00E+00
8	16	3.21E+08	0.00E+00
8	17	3.24E+08	0.00E+00
8	18	3.40E+08	0.00E+00
8	19	3.45E+08	0.00E+00
8	20	3.55E+08	0.00E+00
8	21	3.64E+08	0.00E+00
8	22	3.76E+08	0.00E+00
9	1	4.59E+07	0.00E+00
9	2	4.41E+07	0.00E+00
9	3	4.28E+07	0.00E+00
9	4	4.66E+07	0.00E+00
9	5	7.48E+07	0.00E+00
9	6	9.91E+07	0.00E+00
9	7	1.36E+08	0.00E+00
9	8	2.38E+08	0.00E+00
9	9	2.09E+08	0.00E+00
9	10	1.78E+08	0.00E+00
9	11	3.12E+08	0.00E+00
9	12	3.14E+08	0.00E+00
9	13	3.22E+08	0.00E+00
9	14	3.26E+08	0.00E+00
9	15	3.25E+08	0.00E+00
9	16	3.52E+08	0.00E+00
9	17	3.57E+08	0.00E+00
9	18	3.64E+08	0.00E+00
9	19	3.71E+08	0.00E+00
9	20	3.82E+08	0.00E+00
9	21	3.90E+08	0.00E+00
10	1	1.80E+08	0.00E+00
10	2	1.91E+08	0.00E+00
10	3	2.05E+08	0.00E+00
10	4	2.19E+08	0.00E+00
10	5	2.21E+08	0.00E+00
10	6	2.02E+08	0.00E+00
10	7	1.90E+08	0.00E+00
10	8	3.16E+08	0.00E+00
10	9	3.12E+08	0.00E+00
10	10	2.98E+08	0.00E+00
10	11	3.29E+08	0.00E+00
10	12	3.28E+08	0.00E+00
10	13	3.57E+08	0.00E+00
10	14	3.62E+08	0.00E+00
10	15	3.68E+08	0.00E+00
10	16	3.74E+08	0.00E+00
10	17	3.80E+08	0.00E+00
10	18	3.86E+08	0.00E+00
10	19	3.93E+08	0.00E+00
11	1	2.08E+08	0.00E+00
11	2	2.12E+08	0.00E+00
11	3	2.23E+08	0.00E+00
11	4	2.48E+08	0.00E+00
11	5	3.05E+08	0.00E+00
11	6	2.94E+08	0.00E+00
11	7	2.75E+08	0.00E+00
11	8	3.35E+08	0.00E+00
11	9	3.31E+08	0.00E+00
11	10	3.19E+08	0.00E+00
11	11	3.66E+08	0.00E+00
11	12	3.72E+08	0.00E+00
11	13	3.78E+08	0.00E+00
11	14	3.82E+08	0.00E+00
11	15	3.87E+08	0.00E+00
11	16	3.92E+08	0.00E+00
11	17	3.96E+08	0.00E+00
12	1	2.56E+08	0.00E+00
12	2	2.52E+08	0.00E+00
12	3	2.50E+08	0.00E+00
12	4	2.61E+08	0.00E+00
12	5	3.35E+08	0.00E+00
12	6	3.26E+08	0.00E+00
12	7	3.07E+08	0.00E+00
12	8	3.72E+08	0.00E+00
12	9	3.77E+08	0.00E+00
12	10	3.81E+08	0.00E+00
12	11	3.86E+08	0.00E+00
12	12	3.89E+08	0.00E+00
12	13	3.94E+08	0.00E+00
12	14	3.96E+08	0.00E+00
12	15	3.97E+08	0.00E+00
13	1	2.96E+08	0.00E+00
13	2	2.87E+08	0.00E+00
13	3	2.75E+08	0.00E+00
13	4	2.70E+08	0.00E+00
13	5	3.81E+08	0.00E+00
13	6	3.84E+08	0.00E+00
13	7	3.81E+08	0.00E+00
13	8	3.89E+08	0.00E+00
13	9	3.91E+08	0.00E+00
13	10	3.92E+08	0.00E+00
13	11	3.97E+08	0.00E+00
13	12	3.97E+08	0.00E+00
13	13	3.95E+08	0.00E+00
14	1	3.76E+08	0.00E+00
14	2	3.70E+08	0.00E+00
14	3	3.58E+08	0.00E+00
14	4	3.36E+08	0.00E+00
14	5	3.92E+08	0.00E+00
14	6	3.92E+08	0.00E+00
14	7	3.89E+08	0.00E+00
14	8	3.96E+08	0.00E+00
14	9	3.95E+08	0.00E+00
14	10	3.92E+08	0.00E+00
14	11	3.84E+08	0.00E+00
15	1	3.84E+08	0.00E+00
15	2	3.80E+08	0.00E+00
15	3	3.70E+08	0.00E+00
15	4	3.44E+08	0.00E+00
15	5	3.90E+08	0.00E+00
15	6	3.87E+08	0.00E+00
15	7	3.82E+08	0.00E+00
15	8	3.73E+08	0.00E+00
16	1	3.69E+08	0.00E+00
16	2	3.67E+08	0.00E+00
16	3	3.61E+08	0.00E+00
16	4	3.41E+08	0.00E+00
16	5	3.42E+08	0.00E+00
16	6	3.20E+08	0.00E+00
17	1	2.89E+08	0.00E+00
17	2	2.93E+08	0.00E+00
17	3	2.91E+08	0.00E+00
17	4	2.98E+08	0.00E+00
18	1	3.10E+08	0.00E+00


