#These would be double counted if included in the molecular network
#N+,e-=>N:ele_recomb:1.:0.:0.
#S+,e-=>S:ele_recomb:1.:0.:0.
#Cl+,e-=>Cl:ele_recomb:1.:0.:0.
#C+,e-=>C:ele_recomb:1.:0.:0.
#O+,e-=>O:ele_recomb:1.:0.:0.
#Si+,e-=>Si:ele_recomb:1.:0.:0.
#C,PHOTON=>C+,e-:ele_ionize:1.:0.:0.
#O,PHOTON=>O+,e-:ele_ionize:1.:0.:0.
#Si,PHOTON=>Si+,e-:ele_ionize:1.:0.:0.
#Cl,PHOTON=>Cl+,e-:ele_ionize:1.:0.:0.
#N,PHOTON=>N+,e-:ele_ionize:1.:0.:0.
#S,PHOTON=>S+,e-:ele_ionize:1.:0.:0.
# >>chng 06 Feb 28 -- NPA.  Charge transfer between S+, Si+, and C+ and Mg/Fe is 
#	 * sometimes important in molecular abundance determinations.  We therefore include them here.  Someday, we may need to 
#	 * include Mg and Fe in the molecular network, but for now include the reaction in the existing heavy element
#	 * network 
# was hardwired constant, corrected to depend on impinging CR rate; note direct not induced-photoreaction rate so no albedo factor 
CRP,CO=>CO+,e-:crnurate_noalbedo:0.78:0.:0. # UMIST	 
C,CO=>C2,O:hmrate:2.94e-11:0.5:58025 # UMIST	 
O,C2=>CO,C:hmrate:5.e-11:0.5:0 # UMIST	 
C2,O2=>CO,CO:hmrate:1.83e-12:0:0 # UMIST	 
C2,O2+=>CO+,CO:hmrate:4.1e-10:0:0 # UMIST	 
C2,CO+=>CO,C2+:hmrate:8.4e-10:0:0 # UMIST	 
C2+,O2=>CO+,CO:hmrate:8.e-10:0:0 # UMIST	 
C,CO+=>CO,C+:hmrate:1.1e-10:0:0 # UMIST	 
C,HCO+=>CO,CH+:hmrate:1.1e-9:0:0 # UMIST	 
C,O=>CO,PHOTON:hmrate:2.1E-19:0:0 # UMIST	 
C,O2=>CO,O:hmrate:3.3e-11:0:0 # UMIST	 
C,OH=>CO,H:hmrate:1.1e-10:0.5:0 # UMIST	 
C,SiO+=>Si+,CO:hmrate:1.0e-9:0:0 # UMIST	 
C,CRPHOT=>C+,e-:crnurate:510:0.:0. # rjrw: rate was hardwired constant, corrected to depend on impinging CR rate 
C+,OH=>CO+,H:hmrate:7.7e-10:0.:0.#  UMIST; Dubernet et al. 1992, ApJ, 239, 855	 
C+,OH=>CO,H+:hmrate:7.7e-10:0.:0. # UMIST; Dubernet et al. 1992, ApJ, 239, 855	 
C+,SiO=>Si+,CO:hmrate:5.4e-10:0:0 # UMIST	 
C+,O2=>CO,O+:hmrate:6.2e-10:0:0 # UMIST	 
O,CH2=>CO,H,H:hmrate:1.33e-10:0:0 # UMIST	 
O,CH2=>CO,H2:hmrate:8.e-11:0:0 # UMIST	 
O,CO+=>CO,O+:hmrate:1.4e-10:0:0 # UMIST	 
O+,CO=>CO+,O:hmrate:4.9e-12:0.5:4580 # UMIST	 
CH,CO+=>CO,CH+:hmrate:3.2e-10:0:0 # UMIST	 
CH,HCO+=>CO,CH2+:hmrate:6.3e-10:0:0 # UMIST	 
CH,O2=>CO,OH:hmrate:2.6e-11:0:0 # UMIST	 
CH2,CO+=>CO,CH2+:hmrate:4.3e-10:0:0 # UMIST	 
CH2,HCO+=>CO,CH3+:hmrate:8.6e-10:0:0 # UMIST	 
CH2,O2=>CO,H2O:hmrate:2.48e-10:-3.3:1443 # UMIST	 
CO+,O2=>O2+,CO:hmrate:1.2e-10:0:0 # UMIST	 
H2O,CO+=>CO,H2O+:hmrate:1.72e-9:0:0 # UMIST	 
H2O,HCO+=>CO,H3O+:hmrate:2.5e-9:0:0 # UMIST	 
H2O+,CO=>HCO+,OH:hmrate:5.0e-10:0:0 # UMIST	 
HCO+,SiH=>SiH2+,CO:hmrate:8.7e-10:0:0 # UMIST	 
HCO+,SiO=>SiOH+,CO:hmrate:7.9e-10:0:0 # UMIST	 
OH,CO+=>CO,OH+:hmrate:3.1e-10:0:0 # UMIST	 
OH,HCO+=>CO,H2O+:hmrate:6.2e-10:0:0 # UMIST	 
OH+,CO=>HCO+,O:hmrate:1.05e-9:0:0 # UMIST	 
CO+,CH4=>CO,CH4+:hmrate:7.93e-10:0:0 # UMIST     
CO,CH4+=>HCO+,CH3:hmrate:1.4e-9:0:0 # UMIST     
CO,CH5+=>HCO+,CH4:hmrate:1.0e-9:0:0 # UMIST     
C,NO=>CO,N:hmrate:4.65e-11:0:0 # UMIST   
C,OCN=>CO,CN:hmrate:4.0e-11:0.5:0 # UMIST   
C,SO=>S,CO:hmrate:7.2e-11:0:0 # UMIST   
O,CN=>CO,N:hmrate:4.36e-11:0.46:364 # UMIST   
O,HCN=>CO,NH:hmrate:0.00000000000073:1.14:3742 # UMIST   
O,OCN=>NO,CO:hmrate:9.43e-11:-0.09:100 # UMIST   
O,CS=>S,CO:hmrate:2.48e-10:-0.65:783 # UMIST   
O,OCS=>SO,CO:hmrate:1.6e-11:0:2150 # UMIST   
OH,HCN=>CO,NH2:hmrate:1.07e-13:0:5892 # UMIST   
CN,NO=>N2,CO:hmrate:1.79e-10:0:4040 # UMIST   
CN,O2=>NO,CO:hmrate:0.00000000000053:0:0 # UMIST   
CO,HS=>OCS,H:hmrate:0.0000000000000595:1.12:8330 # UMIST   
H+,OCS=>HS+,CO:hmrate:2.1e-9:0:0 # UMIST   
He+,OCS=>S+,CO,He:hmrate:7.6e-10:0:0 # UMIST   
C+,SO=>S+,CO:hmrate:2.6e-10:0:0 # UMIST   
C+,OCS=>CS+,CO:hmrate:1.6e-9:0:0 # UMIST   
CH+,OCS=>HCS+,CO:hmrate:1.05e-9:0:0 # UMIST   
N+,CO=>NO+,C:hmrate:1.45e-10:0:0 # UMIST   
N+,OCS=>S+,CO,N:hmrate:3.08e-10:0:0 # UMIST   
NH+,CO=>HCO+,N:hmrate:4.41e-10:0:0 # UMIST   
NH+,CO=>OCN+,H:hmrate:5.39e-10:0:0 # UMIST   
NH,HCO+=>CO,NH2+:hmrate:6.4e-10:0:0 # UMIST   
NH2,HCO+=>CO,NH3+:hmrate:8.9e-10:0:0 # UMIST   
NH3,HCO+=>CO,NH4+:hmrate:2.2e-9:0:0 # UMIST   
CN+,O2=>NO+,CO:hmrate:8.6e-11:0:0 # UMIST   
HCN+,CO=>HCO+,CN:hmrate:1.4e-10:0:0 # UMIST   
CO,HNO+=>NO,HCO+:hmrate:1.0e-10:0:0 # UMIST   
N2+,OCS=>S+,N2,CO:hmrate:1.04e-9:0:0 # UMIST   
HCO+,S=>HS+,CO:hmrate:3.3e-10:0:0 # UMIST   
HCO+,CS=>HCS+,CO:hmrate:1.2e-9:0:0 # UMIST   
NH,CO+=>CO,NH+:hmrate:3.2e-10:0:0 # UMIST   
NH2,CO+=>CO,NH2+:hmrate:4.5e-10:0:0 # UMIST   
NH3,CO+=>CO,NH3+:hmrate:2.02e-9:0:0 # UMIST   
CN+,CO=>CO+,CN:hmrate:6.3e-10:0:0 # UMIST   
HCN,CO+=>CO,HCN+:hmrate:3.4e-9:0:0 # UMIST   
CO,N2+=>N2,CO+:hmrate:7.4e-11:0:0 # UMIST   
CO+,NO=>NO+,CO:hmrate:3.3e-10:0:0 # UMIST   
OCN+,e-=>CO,N:hmrate:0.0000003:-0.5:0 # UMIST   
OCS+,e-=>S,CO:hmrate:0.00000015:-0.5:0 # UMIST   
CO,S=>OCS,PHOTON:hmrate:1.6e-17:-1.5:0 # UMIST   
OCS,PHOTON=>S,CO:th85rate:3.7e-9:0.:0. # UMIST   
OCS,CRPHOT=>S,CO:crnurate:5360 :0.:0. # UMIST   
N+,CO=>CO+,N:hmrate:8.25e-10:0:0 # UMIST   
CO+,S=>S+,CO:hmrate:1.1e-9:0:0 # UMIST   
O,CCl=>Cl,CO:hmrate:0.0000000000996:0:0 # UMIST   
CO,H2Cl+=>HCl,HCO+:hmrate:0.00000000078:0:0 # UMIST   
HNC,HCO+=>HCNH+,CO:hmrate:0.0000000031:0:0 
HCN,HCO+=>HCNH+,CO:hmrate:0.0000000031:0:0 
O,C2H=>CO,CH:hmrate:0.000000000017:0:0 
C2H,CO+=>CO,C2H+:hmrate:0.00000000039:0:0 
C2,HCO+=>CO,C2H+:hmrate:0.00000000083:0:0 
O2,C3=>CO,C2,O:hmrate:0.000000000001:0:0 
O,C3=>CO,C2:hmrate:0.00000000005:0.5:0 
C2H,HCO+=>CO,C2H2+:hmrate:0.00000000078:0:0 
O,C3H=>CO,C2H:hmrate:0.0000000001:0:250 
O,C2H2=>CO,CH2:hmrate:0.00000000000839:1.03:1197 
OH,C2H2=>CO,CH3:oh_c2h2_co_ch3:6.51E-18:4.:-1006
HCO+,C3=>C3H+,CO:hmrate:0.000000002:0:0 
H2O,C3H+=>CO,C2H3+:hmrate:0.00000000018:0:0 
C2H2,HCO+=>CO,C2H3+:hmrate:0.0000000014:0:0 
e-,CH+=>C,H:hmrate:0.00000015:-0.42:0 # UMIST	 
e-,CH2+=>C,H,H:hmrate:0.000000403:-0.6:0 # UMIST	 
e-,CH3+=>CH,H,H:hmrate:0.000000056:-0.5:0 # UMIST	 
e-,CH3+=>CH3,PHOTON:hmrate:1.1e-10:-0.5:0 # UMIST	 
e-,H2O+=>OH,H:hmrate:0.0000000792:-0.5:0 # UMIST	 
e-,H2O+=>O,H,H:hmrate:0.000000245:-0.5:0 # UMIST	 
e-,H2O+=>O,H2:hmrate:0.000000036:-0.5:0 # UMIST	 
e-,H3O+=>H2O,H:hmrate:0.000000108:-0.5:0 # UMIST	 
e-,H3O+=>OH,H,H:hmrate:0.000000258:-0.5:0 # UMIST	 
e-,H3O+=>OH,H2:hmrate:0.0000000645:-0.5:0 # UMIST	 
e-,H3O+=>O,H2,H:hmrate:5.59e-9:-0.5:0 # UMIST	 
e-,O2+=>O,O:hmrate:0.000000195:-0.7:0 # UMIST	 
e-,OH+=>O,H:hmrate:0.0000000375:-0.5:0 # UMIST	 
e-,SiH2+=>SiH,H:hmrate:0.00000015:-0.5:0 # UMIST	 
e-,SiH2+=>Si,H,H:hmrate:0.0000002:-0.5:0 # UMIST	 
e-,SiH2+=>Si,H2:hmrate:0.00000015:-0.5:0 # UMIST	 
e-,SiO+=>Si,O:hmrate:0.0000002:-0.5:0 # UMIST	 
e-,SiOH+=>SiO,H:hmrate:0.00000015:-0.5:0 # UMIST	 
e-,SiOH+=>Si,OH:hmrate:0.00000015:-0.5:0 # UMIST	 
e-,CH5+=>CH3,H2:hmrate:0.00000055:-0.3:0 # UMIST     
e-,CH5+=>CH4,H:hmrate:0.00000055:-0.3:0 # UMIST     
e-,CH4+=>CH3,H:hmrate:0.000000175:-0.5:0 # UMIST     
e-,CH4+=>CH2,H,H:hmrate:0.000000175:-0.5:0 # UMIST     
C2+,e-=>C,C:hmrate:0.0000003:-0.5:0 # UMIST	 
NH+,e-=>N,H:hmrate:0.000000043:-0.5:0 # UMIST   
NH2+,e-=>N,H,H:hmrate:0.000000198:-0.5:0 # UMIST   
NH2+,e-=>NH,H:hmrate:0.000000102:-0.5:0 # UMIST   
NH3+,e-=>NH,H,H:hmrate:0.000000155:-0.5:0 # UMIST   
NH3+,e-=>NH2,H:hmrate:0.000000155:-0.5:0 # UMIST   
NH4+,e-=>NH2,H,H:hmrate:0.000000286:-0.5:0 # UMIST   
NH4+,e-=>NH2,H2:hmrate:0.000000137:-0.5:0 # UMIST   
NH4+,e-=>NH3,H:hmrate:0.000000938:-0.5:0 # UMIST   
CN+,e-=>N,C:hmrate:0.00000018:-0.5:0 # UMIST   
HCN+,e-=>CN,H:hmrate:0.0000002:-0.5:0 # UMIST   
N2+,e-=>N,N:hmrate:0.000000036:-0.42:0 # UMIST   
NO+,e-=>O,N:hmrate:0.00000043:-0.37:0 # UMIST   
HNO+,e-=>NO,H:hmrate:0.0000003:-0.5:0 # UMIST   
HS+,e-=>S,H:hmrate:0.0000002:-0.5:0 # UMIST   
SiN+,e-=>Si,N:hmrate:0.0000002:-0.5:0 # UMIST   
CS+,e-=>S,C:hmrate:0.0000002:-0.5:0 # UMIST   
HCS+,e-=>CS,H:hmrate:0.00000005:-0.75:0 # UMIST   
NO2+,e-=>NO,O:hmrate:0.0000003:-0.5:0 # UMIST   
NS+,e-=>S,N:hmrate:0.0000002:-0.5:0 # UMIST   
SO+,e-=>S,O:hmrate:0.0000002:-0.5:0 # UMIST   
OCS+,e-=>CS,O:hmrate:0.00000015:-0.5:0 # UMIST   
S2+,e-=>S,S:hmrate:0.0000002:-0.5:0 # UMIST   
HCl+,e-=>Cl,H:hmrate:0.0000003:-0.5:0 # UMIST   
H2Cl+,e-=>Cl,H,H:hmrate:0.00000027:-0.5:0 # UMIST   
H2Cl+,e-=>HCl,H:hmrate:0.00000003:-0.5:0 # UMIST   
CCl+,e-=>Cl,C:hmrate:0.0000003:-0.5:0 # UMIST   
H2CCl+,e-=>CCl,H,H:hmrate:0.0000003:-0.5:0 # UMIST   
ClO+,e-=>Cl,O:hmrate:0.0000002:-0.5:0 # UMIST   
HCNH+,e-=>HCN,H:hmrate:0.00000009:-0.5:0 
HCNH+,e-=>CN,H,H:hmrate:0.00000018:-0.5:0 
HCNH+,e-=>HNC,H:hmrate:0.00000009:-0.5:0 
C2H+,e-=>CH,C:hmrate:0.000000135:-0.5:0 
C2H+,e-=>C2,H:hmrate:0.000000116:-0.76:0 # Herbst 
C3+,e-=>C2,C:hmrate:0.0000003:-0.5:0 
C2H2+,e-=>C2,H,H:hmrate:0.00000009:-0.5:0 
C2H2+,e-=>CH,CH:hmrate:0.00000009:-0.5:0 
C2H2+,e-=>C2H,H:hmrate:0.00000029:-0.5:0 # Herbst 
C3H+,e-=>C2H,C:hmrate:0.00000015:-0.5:0 
C3H+,e-=>C3,H:hmrate:0.00000015:-0.5:0 
C2H3+,e-=>C2H2,H:hmrate:0.00000045:-0.5:0 
# >>chng 06 Apr 13, add N2H+ to chemistry.  which 
# should improve modeling of nitrogen chemistry, in 
# particular NH and N2 
N2H+,e-=>N2,H:hmrate:0.36e-7:-0.51:0 
N2H+,e-=>NH,N:hmrate:0.64e-7:-0.51:0 
NH,PHOTON=>NH+,e-:th85rate:1.0e-11:0.:0. # UMIST   
NH,PHOTON=>N,H:th85rate:5.0e-10:0.:0. # UMIST   
NH2,PHOTON=>NH,H:th85rate:3.9e-10:0.:0. # UMIST   
NH2,PHOTON=>NH2+,e-:th85rate:1.73e-10:0.:0. # UMIST   
NH3,PHOTON=>NH3+,e-:th85rate:1.8e-10:0.:0. # UMIST   
NH3,PHOTON=>NH,H2:th85rate:3.3e-10:0.:0. # UMIST   
NH3,PHOTON=>NH2,H:th85rate:1.1e-9:0.:0. # UMIST   
CN,PHOTON=>N,C:th85rate:1.1e-9:0.:0.#  UMIST   	# >>chng 06 jun 01, comment out ?? - in more than one time
HCN,PHOTON=>CN,H:th85rate:1.3e-9:0.:0. # UMIST   
N2,PHOTON=>N,N:th85rate:2.3e-10:0.:0. # UMIST   
NO,PHOTON=>O,N:th85rate:4.3e-10:0.:0. # UMIST   
NO,PHOTON=>NO+,e-:th85rate:2.6e-10:0.:0. # UMIST   
HNO,PHOTON=>NO,H:th85rate:1.7e-10:0.:0. # UMIST   
HS,PHOTON=>S,H:th85rate:9.7e-10:0.:0. # UMIST   
HS+,PHOTON=>S+,H:th85rate:3.e-10:0.:0. # UMIST   
OCN,PHOTON=>CN,O:th85rate:1.0e-11:0.:0. # UMIST   
CS,PHOTON=>S,C:th85rate:9.7e-10:0.:0. # UMIST   
CS+,PHOTON=>S+,C:th85rate:2.0e-10:0.:0. # UMIST   
CS,PHOTON=>CS+,e-:th85rate:2.0e-10:0.:0. # UMIST   
NO2,PHOTON=>NO,O:th85rate:1.2e-9:0.:0. # UMIST   
NS,PHOTON=>S,N:th85rate:1.0e-11:0.:0. # UMIST   
SO,PHOTON=>S,O:th85rate:3.7e-9:0.:0. # UMIST   
SO,PHOTON=>SO+,e-:th85rate:6.e-10:0.:0. # UMIST   
OCS,PHOTON=>OCS+,e-:th85rate:4.2e-10:0.:0. # UMIST   
NH,CRPHOT=>NH+,e-:crnurate:500 :0.:0. # UMIST   
NH,CRPHOT=>N,H:crnurate:500 :0.:0. # UMIST   
NH2,CRPHOT=>NH,H:crnurate:81 :0.:0. # UMIST   
NH2,CRPHOT=>NH2+,e-:crnurate:610 :0.:0. # UMIST   
NH3,CRPHOT=>NH3+,e-:crnurate:543 :0.:0. # UMIST   
NH3,CRPHOT=>NH,H2:crnurate:541 :0.:0. # UMIST   
NH3,CRPHOT=>NH2,H:crnurate:1325 :0.:0. # UMIST   
CN,CRPHOT=>N,C:crnurate:10580 :0.:0. # UMIST   
HCN,CRPHOT=>CN,H:crnurate:3114 :0.:0. # UMIST   
N2,CRPHOT=>N,N:crnurate:50 :0.:0. # UMIST   
NO,CRPHOT=>O,N:crnurate:427 :0.:0. # UMIST   
NO,CRPHOT=>NO+,e-:crnurate:430 :0.:0. # UMIST   
HNO,CRPHOT=>NO,H:crnurate:1000 :0.:0. # UMIST   
HS,CRPHOT=>S,H:crnurate:500 :0.:0. # UMIST   
OCN,CRPHOT=>CN,O:crnurate:1500 :0.:0. # UMIST   
CS,CRPHOT=>S,C:crnurate:500 :0.:0. # UMIST   
CS,CRPHOT=>CS+,e-:crnurate:500 :0.:0. # UMIST   
NO2,CRPHOT=>NO,O:crnurate:1500 :0.:0. # UMIST   
NS,CRPHOT=>S,N:crnurate:500 :0.:0. # UMIST   
SO,CRPHOT=>S,O:crnurate:500 :0.:0. # UMIST   
SO,CRPHOT=>SO+,e-:crnurate:500 :0.:0. # UMIST   
OCS,CRPHOT=>OCS+,e-:crnurate:1444 :0.:0. # UMIST   
PHOTON,CH=>CH+,e-:th85rate:7.6e-10:0.:2.8 #  UMIST	   	# >>chng 06 jun 01, comment out ??4.2e-10*TH85_field; - in more than one time
PHOTON,CH=>C,H:th85rate:8.6e-10:0.:1.2 #  UMIST	   	# >>chng 06 jun 01, comment out ??1.3e-9*TH85_field; - in more than one time
PHOTON,CH+=>C+,H:th85rate:2.5e-10:0.:2.5 #  UMIST	 
PHOTON,CH2=>CH2+,e-:th85rate:1.0e-9:0.:2.3 #  UMIST	 
PHOTON,CH2=>CH,H:th85rate:7.2e-10:0.:1.7 #  UMIST	 
PHOTON,CH2+=>CH+,H:th85rate:1.7e-9:0.:1.7 #  UMIST	 
PHOTON,CH3+=>CH2+,H:th85rate:1.0e-9:0.:1.7 #  UMIST	 
PHOTON,CH3+=>CH+,H2:th85rate:1.0e-9:0.:1.7 #  UMIST	 
PHOTON,H2O=>H2O+,e-:th85rate:3.3e-11:0.:3.9 #  UMIST	 
PHOTON,H2O=>OH,H:th85rate:5.9e-10:0.:1.7 #  UMIST	 
PHOTON,O2=>O2+,e-:th85rate:5.6e-11:0.:3.7 #  UMIST	 
PHOTON,O2=>O,O:th85rate:6.9e-10:0.:1.8 #  UMIST	 
PHOTON,OH=>OH+,e-:th85rate:1.6e-12:0.:3.1 #  UMIST	 
PHOTON,OH=>O,H:th85rate:3.5e-10:0.:1.7 #  UMIST	 
PHOTON,OH+=>O,H+:th85rate:1.e-12:0.:1.8 #  UMIST	 
PHOTON,SiH=>Si,H:th85rate:2.8e-9:0.:1.1 #  UMIST	 
PHOTON,SiO=>Si,O:th85rate:1.0e-10:0.:2.3 #  UMIST	 
HNC,PHOTON=>CN,H:th85rate:1.5e-9:0.:0. 
HNC,CRPHOT=>CN,H:crnurate:2986:0.:0. 
HCl,PHOTON=>Cl,H:th85rate:0.00000000011:0.:0. # UMIST   
CCl,PHOTON=>Cl,C:th85rate:0.0000000001:0.:0. # UMIST   
ClO,PHOTON=>Cl,O:th85rate:0.0000000001:0.:0.#  UMIST   
HCl,CRPHOT=>Cl,H:crnurate:610:0.:0. # UMIST   
CCl,CRPHOT=>Cl,C:crnurate:500:0.:0. # UMIST   
ClO,CRPHOT=>Cl,O:crnurate:500:0.:0. # UMIST   
CRPHOT,CH=>C,H:crnurate: 756:0.:0. # UMIST	 
CRPHOT,CH+=>C+,H:crnurate: 183:0.:0. # UMIST	 
CRPHOT,H2O=>OH,H:crnurate: 979:0.:0. # UMIST	 
CRPHOT,O2=>O2+,e-:crnurate:88:0.:0. # UMIST	 
CRPHOT,O2=>O,O:crnurate:730:0.:0. # UMIST	 
CRPHOT,OH=>O,H:crnurate:522:0.:0. # UMIST	 
CRPHOT,SiH=>Si,H:crnurate:500:0.:0. # UMIST	 
CRPHOT,SiO=>Si,O:crnurate:500:0.:0. # UMIST	 
PHOTON,CH3=>CH3+,e-:th85rate:1.0e-10:0.:2.1 #  UMIST     
PHOTON,CH3=>CH2,H:th85rate:2.5e-10:0.:1.9 #  UMIST     
PHOTON,CH3=>CH,H2:th85rate:2.5e-10:0.:1.9 #  UMIST     
CRPHOT,CH3=>CH3+,e-:crnurate:500:0.:0. # UMIST     
CRPHOT,CH3=>CH2,H:crnurate:500:0.:0. # UMIST     
CRPHOT,CH3=>CH,H2:crnurate:500:0.:0. # UMIST     
PHOTON,CH4=>CH3,H:th85rate:2.2e-10:0.:2.2 #  UMIST     
PHOTON,CH4=>CH2,H2:th85rate:9.8e-10:0.:2.2 #  UMIST     
PHOTON,CH4=>CH,H2,H:th85rate:2.2e-10:0.:2.2 #  UMIST     
CRPHOT,CH4=>CH2,H2:crnurate:2272:0.:0. # UMIST     
C2,PHOTON=>C,C:th85rate:4.7e-11:0.:0. # UMIST	  	#>>chng 05 dec 17 The rate for this reaction comes from Eric Herbst's website 
C2,PHOTON=>C2+,e-:th85rate:1e-10:0.:0. # UMIST	  	#>>chng 05 dec 17 The rate for this reaction comes from Eric Herbst's website 
C2,CRPHOT=>C,C:crnurate:500:0.:0. # UMIST	 
C2+,PHOTON=>C+,C:th85rate:1.0e-11:0.:0. # UMIST	 
C2H,CRPHOT=>C2,H:crnurate:5000:0.:0. 
C2H,PHOTON=>C2,H:th85rate:0.00000000051:0.:0. 
C2H,PHOTON=>C2H+,e-:th85rate:0.00000000001:0.:0. 
C2H,CRPHOT=>C2H+,e-:crnurate:5000:0.:0. 
C3,PHOTON=>C2,C:th85rate:0.0000000038:0.:0. 
C3,CRPHOT=>C2,C:crnurate:1119:0.:0. 
C2H2,CRPHOT=>C2H2+,e-:crnurate:1309:0.:0. 
C2H2,CRPHOT=>C2H,H:crnurate:5155:0.:0. 
C3H,CRPHOT=>C3,H:crnurate:5000:0.:0. 
C2H2,PHOTON=>C2H2+,e-:th85rate:0.00000000046:0.:0. 
C2H2,PHOTON=>C2H,H:th85rate:0.0000000073:0.:0. 
C3H,PHOTON=>C3,H:th85rate:0.000000001:0.:0. 
H,CH=>C,H,H:hmrate:6.0e-9:0:40200 # UMIST	 
H,OH=>O,H,H:hmrate:6.0e-9:0:50900 # UMIST	 
H,H2O=>OH,H,H:hmrate:5.8e-9:0:52900 # UMIST	 
O,CH=>CO,H:hmrate:6.6e-11:0.:0.#  UMIST 
e-,CH2+=>CH,H:hmrate:0.00000016:-0.6:0#  UMIST 
e-,CH2+=>C,H2:hmrate:0.0000000768:-0.6:0 # UMIST	 
e-,CH3+=>C,H2,H:hmrate:0.000000105:-0.5:0 # UMIST; Federman	 
e-,CH3+=>CH2,H:hmrate:0.00000014:-0.5:0 # UMIST;Federman	 
e-,CH3+=>CH,H2:hmrate:0.000000049:-0.5:0 # UMIST; Federman	 
e-,CO+=>C,O:hmrate:0.0000002:-0.48:0 # UMIST; Federman	 
H,CH=>C,H2:hmrate:2.7e-11:0.38:2200 # UMIST; Federman	  	# >>chng 06 Feb 27 -- NPA  TH85 has a temperature barrier for this reaction, and the Meudon PDR code datafile does as well.  Use the temperature barrier of 2200 K 
H2,CO+=>HCO+,H:hmrate:1.8e-9:0.:0. # UMIST;Federman;	 
H2,CH2+=>CH3+,H:hmrate:1.6e-9:0.:0. #  UMIST;Federman;
H2,C+=>CH2+,PHOTON:hmrate:0.0000000000000004:-0.2:0 # UMIST;Federman	 
N,C2=>CN,C:hmrate:5.e-11:0.5:0 # UMIST; Federman	 
C+,CH=>C2+,H:hmrate:27e-9:-0.50:0 # UMIST;Federman 
C+,CH=>CH+,C:hmrate:3.8e-10:0.:0. # UMIST;Federman	 
O,CH3+=>HCO+,H2:hmrate:4.0e-10:0.:0. # UMIST;Federman	 
CH,N=>CN,H:hmrate:1.66e-10:-0.09:0 # UMIST ; Federman  
C+,NH=>CN+,H:hmrate:7.8e-10:0.:0. # UMIST; Federman   
e-,HCO+=>CO,H:hmrate:0.00000011:-1:0 # UMIST; Federman	 
H,CH+=>C+,H2:hmrate:7.5e-10:0:0 # UMIST	 
H,CH2=>CH,H2:hmrate:6.64e-11:0:370 # UMIST	  	# >>chng 06 Feb 27 -- NPA  TH85 has a temperature barrier for this reaction, and the Meudon PDR code datafile does as well.  Use the temperature barrier of 370 K	
H,CH3+=>CH2+,H2:hmrate:7.0e-10:0:10560 # UMIST	 
H,OH=>O,H2:hmrate:0.0000000000000699:2.8:1950 # UMIST	 
H,H2O=>OH,H2:hmrate:1.59e-11:1.2:9610 # UMIST	 
H,O2=>OH,O:hmrate:2.61e-10:0:8156 # UMIST	 
H,O2=>O,O,H:hmrate:6.0e-9:0:52300 # UMIST	 
H,C=>CH,PHOTON:hmrate:1.e-17:0:0 # UMIST	 
H,C+=>CH+,PHOTON:hmrate:1.7e-17:0:0 # UMIST	 
H,OH=>H2O,PHOTON:hmrate:5.26E-18:-5.22:90 # UMIST	 
H,O=>OH,PHOTON:hmrate:9.9E-19:-0.38:0 # UMIST	 
H-,CH=>CH2,e-:hmrate:1.0e-10:0:0 # UMIST	 
